Date,Type,Details,Amount,Units,Realized Equity Change,Realized Equity,Balance,Asset type,NWA
25/03/2024 16:38,Deposit,,1600,-,1600,1600,1600,-,0
25/03/2024 16:38,Deposit Conversion Fee,-,0,-,0,1600,1600,-,0
25/03/2024 16:40,Deposit Conversion Fee,-,0,-,0,19200,19200,-,0
25/03/2024 16:40,Deposit,,17600,-,17600,19200,19200,-,0
26/03/2024 08:00,Open Position,CNDX.L/USD,3840,3.67144,0,19200,15360,ETF,0
26/03/2024 08:04,Open Position,CEBP.DE/EUR,960,93.677248,0,19200,14400,ETF,0
26/03/2024 08:04,Open Position,SX5EEX.DE/EUR,1920,34.866608,0,19200,12480,ETF,0
26/03/2024 08:04,Open Position,VVSM.DE/EUR,1920,46.382256,0,19200,10560,ETF,0
26/03/2024 08:04,Open Position,IUS3.DE/EUR,1920,21.98752,0,19200,8640,ETF,0
26/03/2024 08:04,Open Position,USCP.DE/EUR,1920,1.416704,0,19200,6720,ETF,0
26/03/2024 08:04,Open Position,DJGTEEX.DE/EUR,3840,46.668656,0,19200,2880,ETF,0
26/03/2024 09:57,Open Position,IDEM/USD,1920,47.293552,0,19200,960,ETF,0
26/03/2024 09:58,Open Position,IJPE/EUR,960,9.7556,0,19200,0,ETF,0
02/04/2024 07:38,Deposit,,5600,-,5600,24800,5600,-,0
02/04/2024 07:38,Deposit Conversion Fee,-,0,-,0,24800,5600,-,0
02/04/2024 07:39,Open Position,SAF/EUR,1600,7.1164,0,24800,4000,Stocks,0
02/04/2024 07:41,Open Position,RHM.DE/EUR,800,1.392768,0,24800,3200,Stocks,0
02/04/2024 13:30,Open Position,TSM/USD,1200,8.54336,0,24800,2000,Stocks,0
02/04/2024 14:22,Open Position,RHM.DE/EUR,800,1.42784,0,24800,1200,Stocks,0
11/04/2024 19:00,Open Position,TSM/USD,1200,8.14608,0,24800,0,Stocks,0
22/04/2024 09:52,Deposit Conversion Fee,-,0,-,0,30400,5600,-,0
22/04/2024 09:52,Deposit,,5600,-,5600,30400,5600,-,0
24/04/2024 09:42,Open Position,IUS3.DE/EUR,1280,14.985888,0,30400,4320,ETF,0
24/04/2024 09:44,Open Position,RHM.DE/EUR,800,1.446752,0,30400,3520,Stocks,0
24/04/2024 09:50,Open Position,SPY5.L/USD,800,1.577696,0,30400,2720,ETF,0
24/04/2024 13:30,Open Position,TSM/USD,800,5.885376,0,30400,1920,Stocks,0
25/04/2024 07:18,Open Position,SPY5.L/USD,320,0.635024,0,30400,1600,ETF,0
30/04/2024 07:00,Open Position,SPY5.L/USD,800,1.565776,0,30400,800,ETF,0
